cell_num,Property_12,Property_13,Property_14,Property_15,Property_16,Property_17,Property_18,rnn_result
cell_1,1.0,8.355481147766113,1.6498780250549316,1.9661202430725095,0.6776429414749146,28.144580841064453,17.93787956237793,0.97016174
cell_2,3.0,7.572932720184326,1.6154344081878662,2.006650924682617,0.6996485590934753,31.796905517578125,16.99751091003418,0.92814976
cell_3,2.0,9.33839988708496,1.6135679483413696,1.985278844833374,0.647885799407959,29.52709197998047,18.70736122131348,0.998572
cell_4,2.0,11.650897979736328,1.6440975666046145,1.9841471910476685,0.6568527817726135,27.241065979003903,17.385526657104492,0.99494535
cell_5,1.0,8.574403762817383,1.6633740663528442,1.9741307497024536,0.6701549887657166,28.306241989135746,17.81441879272461,0.22200754
cell_6,2.0,7.6005778312683105,1.6137299537658691,2.0066170692443848,0.7073270082473755,31.08363151550293,16.832645416259766,0.92059106
cell_7,2.0,9.318927764892578,1.6035716533660889,1.9853225946426392,0.656995952129364,29.0347900390625,18.851924896240234,0.9999999
cell_8,2.0,13.78590202331543,1.651631236076355,1.982730746269226,0.6650999784469604,27.176666259765625,17.289817810058594,0.9996413
cell_9,1.0,11.1839017868042,1.6613839864730835,1.961605668067932,0.675456166267395,28.433115005493164,17.87613868713379,0.999503
cell_10,2.0,6.509146690368652,1.6004295349121094,2.0113556385040283,0.7200000286102295,30.61707305908203,16.843692779541016,0.1881404
cell_11,2.0,9.866897583007812,1.611600041389465,1.988994598388672,0.6650999784469604,29.765735626220703,18.82641220092773,0.99999774
cell_12,2.0,13.840499877929688,1.6500169038772583,1.985957384109497,0.6637853980064392,27.195480346679688,17.087125778198242,0.9993444
cell_13,5.0,10.061484336853027,1.664424180984497,1.947089433670044,0.6700863242149353,28.94707298278809,17.844593048095703,0.99975973
cell_14,2.0,7.512728214263916,1.6018555164337158,2.0055601596832275,0.7200000286102295,30.813203811645508,17.071569442749023,0.74502903
cell_15,2.0,9.853836059570312,1.6138479709625244,1.994071125984192,0.6509556174278259,29.241811752319336,18.85713577270508,0.99651635
cell_16,2.0,11.682841300964355,1.6638119220733645,1.9818806648254397,0.6488925218582153,27.837446212768555,16.718456268310547,0.99985445
cell_17,5.0,9.032899856567385,1.6472654342651367,1.961801528930664,0.6749727725982666,28.83580017089844,17.653518676757812,0.89841676
cell_18,2.0,6.578199863433838,1.6060056686401367,1.98616635799408,0.7129789590835571,30.037620544433597,17.373394012451172,0.9996301
cell_19,2.0,13.779354095458984,1.597502827644348,1.9934980869293213,0.6582779884338379,29.589282989501957,18.84346008300781,0.032846376
cell_20,2.0,10.060735702514648,1.639557123184204,1.9848999977111816,0.65020751953125,27.74093246459961,17.001890182495117,0.9980989
cell_21,5.0,7.64544153213501,1.637625813484192,1.9655296802520752,0.6777788996696472,27.73537826538086,17.8522891998291,0.99997973
cell_22,2.0,6.591516971588135,1.6070636510849,1.9920974969863887,0.6932051777839661,29.526145935058597,17.287580490112305,0.99999774
cell_23,2.0,14.051234245300291,1.5963776111602783,1.991995096206665,0.6745262145996094,29.58235740661621,18.03770637512207,0.013310028
cell_24,2.0,11.22337245941162,1.634600043296814,1.9821151494979856,0.6592901349067688,27.528919219970703,16.9719181060791,0.98422235
cell_25,5.0,3.602959632873535,1.644091010093689,1.9737417697906492,0.6732368469238281,28.156225204467773,17.782320022583008,0.99688584
cell_26,8.0,8.342019081115723,1.609724998474121,1.994572997093201,0.6889047622680664,29.738924026489254,17.6903076171875,0.9999969
cell_27,2.0,15.79100227355957,1.5977884531021118,1.9859448671340945,0.6844662427902222,30.643199920654297,18.15203285217285,0.89792216
cell_28,5.0,10.897794723510742,1.6348958015441897,1.9946811199188232,0.6499524116516113,27.711278915405277,17.044172286987305,0.9976769
cell_29,5.0,5.820404052734375,1.6499428749084473,1.9858864545822144,0.6777414083480835,27.74129295349121,17.31770133972168,0.9977068
cell_30,4.0,6.651484489440918,1.6153465509414673,1.9848999977111816,0.6831223964691162,29.691076278686523,17.28946304321289,0.9998117
cell_31,2.0,15.25256633758545,1.607839822769165,1.9909563064575195,0.6862296462059021,31.32710647583008,18.217195510864254,0.90680575
cell_32,5.0,10.93567180633545,1.6354355812072754,1.991652250289917,0.6535376310348511,26.488887786865234,17.188621520996094,0.9980731
cell_33,5.0,4.892586708068848,1.645053505897522,1.9983057975769043,0.6950690746307373,27.76641082763672,17.20726203918457,0.9492308
cell_34,4.0,8.527888298034668,1.6069772243499756,1.981153130531311,0.6817872524261475,29.73495483398437,17.53424072265625,0.9931959
cell_35,2.0,14.964045524597168,1.6161826848983765,1.991919040679932,0.6848291754722595,31.23795318603516,18.25303840637207,0.939117
